"","country","field","level","sex","opiEU"
"1912","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1913","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite negative"
"1914","France Antilles","Health","Bachelors degree or equivalent","Female","Quite positive"
"1915","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1916","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Neutral"
"1917","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1918","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1919","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Neutral"
"1920","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1921","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1922","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1923","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1924","France Metropolitan","Other","Bachelors degree or equivalent","Female","Very positive"
"1925","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1926","Germany","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1927","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1928","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1929","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1930","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"1931","France Antilles","Other","A-level or equivalent","Female","Neutral"
"1932","Germany","Other","A-level or equivalent","Female","Quite positive"
"1933","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Quite negative"
"1934","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male",NA
"1935","France Metropolitan","Other","PhD or equivalent","Female","Prefer not to answer"
"1936","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1937","France Metropolitan","Other","Bachelors degree or equivalent","Female","Very positive"
"1938","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1939","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
"1940","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1941","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"1942","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"1943","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite negative"
"1944","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1945","Germany","Other","A-level or equivalent","Female",NA
"1946","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1947","Germany","Arts and Humanities","A-level or equivalent","Male","Very positive"
"1948","France Antilles","Business, administration and law","A-level or equivalent","Female","Neutral"
"1949","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"1950","France Antilles","Health","A-level or equivalent","Female","Neutral"
"1951","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1952","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite negative"
"1953","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1954","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"1955","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1956","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1957","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"1958","Germany","Other","A-level or equivalent","Female","Quite positive"
"1959","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1960","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1961","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1962","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1963","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"1964","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1965","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1966","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1967","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"1968","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1969","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Neutral"
"1970","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Other","Neutral"
"1971","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"1972","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"1973","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1974","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1975","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Prefer not to answer","Quite negative"
"1976","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"1977","Germany","Other","A-level or equivalent","Female","Very positive"
"1978","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"1979","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1980","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1981","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1982","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1983","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1984","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Very negative"
"1985","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1986","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"1987","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite negative"
"1988","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1989","Turkey","Business, administration and law","A-level or equivalent","Female","Quite negative"
"1990","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1991","France Antilles","Social sciences, journalism and information","A-level or equivalent","Female","Neutral"
"1992","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1993","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"1994","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
